coupon_title_key,coupon_code_key,coupon_title_example,coupon_code_example,paid_registrations,channel_name,channel_type,alias_reason,reviewed
12LIKEAPRO 100,12LIKEAPRO 100,12LIKEAPRO_100,12LIKEAPRO_100,1,LP Like a Pro,comunidade,variante 100% ou nome operacional consolidado ao mesmo canal pelo nome/código base,True
2FSPORTS,2FSPORTS,2FSPORTS,2FSPORTS,30,2FSPORTS,comunidade,identidade exata de título e código revisada,True
2FSPORTS 100,2FSPORTS 100,2FSPORTS_100,2FSPORTS_100,1,2FSPORTS,comunidade,variante 100% ou nome operacional consolidado ao mesmo canal pelo nome/código base,True
321GOMFLORIPA2026,321GOMFLORIPA2026,321GOMFloripa2026,321GOMFloripa2026,36,321GOMFloripa2026,outro,identidade exata de título e código revisada,True
321GOMFLORIPA2026 100,321GOMFLORIPA2026 100,321GOMFloripa2026_100,321GOMFloripa2026_100,1,321GOMFloripa2026,outro,variante 100% ou nome operacional consolidado ao mesmo canal pelo nome/código base,True
ANAGODOY10,ANAGODOY10,ANAGODOY10,ANAGODOY10,2,ANAGODOY10,outro,identidade exata de título e código revisada,True
ANDRE CORRENDO INFLUENCIADOR SEM CASHBACK,CORRENDO10,André Correndo (Influenciador sem cashback),CORRENDO10,2,André Correndo,influenciador,identidade exata de título e código revisada,True
AREAFITNESS2026,AREAFITNESS2026,AREAFITNESS2026,AREAFITNESS2026,1,AREAFITNESS2026,outro,identidade exata de título e código revisada,True
ASSESSORIA,SU100,Assessoria,SU100,1,Assessoria,assessoria,identidade exata de título e código revisada,True
ASSESSORIA ESPORTIVA CORRER BEM,CORRERBEM2025,Assessoria Esportiva Correr Bem,correrbem2025,15,Assessoria Esportiva Correr Bem,assessoria,identidade exata de título e código revisada,True
ASSESSORIATH2026,ASSESSORIATH2026,Assessoriath2026,Assessoriath2026,9,Assessoriath2026,assessoria,identidade exata de título e código revisada,True
ASSUMCAO TIME,ASSUMCAOFLORIPA2026,ASSUMÇÃO TIME,ASSUMCAOFLORIPA2026,14,ASSUMÇÃO TIME,comunidade,identidade exata de título e código revisada,True
ATC SC 20 OFF,ATCSC20,ATC SC 20% OFF,ATCSC20,179,ATC SC 20% OFF,outro,identidade exata de título e código revisada,True
AVIVARUNNING,AVIVARUNNING,AVIVARUNNING,AVIVARUNNING,20,AVIVARUNNING,comunidade,identidade exata de título e código revisada,True
BENEFICIO 50,1SZHQ9LL,Benefício 50%,1SZHQ9LL,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,3SS8HZRW,Benefício 50%,3SS8HZRW,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,47SUJVSX,Benefício 50%,47SUJVSX,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,4RVFEJKG,Benefício 50%,4RVFEJKG,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,4TLYAQX8,Benefício 50%,4TLYAQX8,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,6RN67ARS,Benefício 50%,6RN67ARS,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,9QJ5VKQN,Benefício 50%,9QJ5VKQN,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,CB97BQUT,Benefício 50%,CB97BQUT,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
