product_id_key,product_name_key,product_id_example,product_name_example,observed_items,canonical_name,classification,classification_reason,reviewed
0F4135D0 7D7D 413E 9FB0 79BC95283789,CAMISETA 21K DESAFIO,0F4135D0-7D7D-413E-9FB0-79BC95283789,Camiseta 21K DESAFIO,249,Camiseta 21K DESAFIO,kit_incluso,camiseta explicitamente vinculada à modalidade/desafio e integrante do kit da inscrição,True
1D65E5AD 615C 498A 8F92 4FBFCABB339C,JANTAR DE MASSAS,1D65E5AD-615C-498A-8F92-4FBFCABB339C,Jantar de massas,124,Jantar de massas,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
1D65E5AD 615C 498A 8F92 4FBFCABB339C,JANTAR DE MASSAS R 110 00,1D65E5AD-615C-498A-8F92-4FBFCABB339C,"Jantar de massas (R$ 110,00)",4,Jantar de massas,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
2232F3EF D43B 4720 9E45 4EDEAAEEC3B3,BONE CORREDOR MARATONA DE FLORIPA 2026,2232F3EF-D43B-4720-9E45-4EDEAAEEC3B3,Boné corredor Maratona de Floripa 2026,179,Boné corredor Maratona de Floripa 2026,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
2232F3EF D43B 4720 9E45 4EDEAAEEC3B3,BONE CORREDOR MARATONA DE FLORIPA 2026 R 90 00,2232F3EF-D43B-4720-9E45-4EDEAAEEC3B3,"Boné corredor Maratona de Floripa 2026 (R$ 90,00)",21,Boné corredor Maratona de Floripa 2026,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
4108159B CECC 4E2E 97AF 5B716CF51162,CORTA VENTO MARATONA DE FLORIPA 2026,4108159B-CECC-4E2E-97AF-5B716CF51162,Corta-vento Maratona de Floripa 2026,121,Corta-vento Maratona de Floripa 2026,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
4108159B CECC 4E2E 97AF 5B716CF51162,CORTA VENTO MARATONA DE FLORIPA 2026 R 230 00,4108159B-CECC-4E2E-97AF-5B716CF51162,"Corta-vento Maratona de Floripa 2026 (R$ 230,00)",23,Corta-vento Maratona de Floripa 2026,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
42480779 F5B9 43CC 8AA2 163C635B337E,VISEIRA MARATONA DE FLORIPA 2026,42480779-F5B9-43CC-8AA2-163C635B337E,Viseira Maratona de Floripa 2026,91,Viseira Maratona de Floripa 2026,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
42480779 F5B9 43CC 8AA2 163C635B337E,VISEIRA MARATONA DE FLORIPA 2026 R 80 00,42480779-F5B9-43CC-8AA2-163C635B337E,"Viseira Maratona de Floripa 2026 (R$ 80,00)",23,Viseira Maratona de Floripa 2026,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
57EF9C68 A11A 4915 BDA0 656F645CA67B,BONE TRUCKER MARATONA DE FLORIPA 2025 R 79 90,57EF9C68-A11A-4915-BDA0-656F645CA67B,"Boné trucker Maratona de Floripa 2025 (R$79,90)",1,Boné trucker Maratona de Floripa,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
57EF9C68 A11A 4915 BDA0 656F645CA67B,BONE TRUCKER MARATONA DE FLORIPA 2025 R 80 00,57EF9C68-A11A-4915-BDA0-656F645CA67B,"Boné trucker Maratona de Floripa 2025 (R$ 80,00)",11,Boné trucker Maratona de Floripa,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
57EF9C68 A11A 4915 BDA0 656F645CA67B,BONE TRUCKER MARATONA DE FLORIPA 2026,57EF9C68-A11A-4915-BDA0-656F645CA67B,Boné trucker Maratona de Floripa 2026,44,Boné trucker Maratona de Floripa,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
73BD6029 F1B1 4E8E AFC2 F0ACF5D656CC,PULSEIRA MOVEON MARATONA DE FLORIPA 2026,73BD6029-F1B1-4E8E-AFC2-F0ACF5D656CC,Pulseira MoveON Maratona de Floripa 2026,45,Pulseira MoveON Maratona de Floripa 2026,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
7B162111 257C 4AFE 84D2 00E1851B6969,GRAVACAO DE MEDALHA,7B162111-257C-4AFE-84D2-00E1851B6969,Gravação de medalha,653,Gravação de medalha,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
7B162111 257C 4AFE 84D2 00E1851B6969,GRAVACAO DE MEDALHA R 50 00,7B162111-257C-4AFE-84D2-00E1851B6969,"Gravação de medalha (R$ 50,00)",169,Gravação de medalha,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
8661D75F 4367 45B4 9889 1B21678A7576,JAQUETA FINISHER MARATONA DE FLORIPA 2026,8661D75F-4367-45B4-9889-1B21678A7576,Jaqueta FINISHER Maratona de Floripa 2026,57,Jaqueta FINISHER Maratona de Floripa 2026,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
8661D75F 4367 45B4 9889 1B21678A7576,JAQUETA FINISHER MARATONA DE FLORIPA 2026 R 230 00,8661D75F-4367-45B4-9889-1B21678A7576,"Jaqueta FINISHER Maratona de Floripa 2026 (R$ 230,00)",19,Jaqueta FINISHER Maratona de Floripa 2026,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
A7294C63 4099 431C 970E 36F07D456786,AREA VIP ATLETAS,A7294C63-4099-431C-970E-36F07D456786,Área VIP Atletas,100,Área VIP Atletas,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
A7294C63 4099 431C 970E 36F07D456786,AREA VIP ATLETAS R 200 00,A7294C63-4099-431C-970E-36F07D456786,"Área VIP Atletas (R$ 200,00)",8,Área VIP Atletas,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
AF60E968 29C6 478D A1C0 42DAFF5E8936,PLAQUINHA MEDALHA PARA PULSEIRA MOVEON DA MARATONA DE FLORIPA 2026,AF60E968-29C6-478D-A1C0-42DAFF5E8936,Plaquinha (medalha) para pulseira MoveOn da Maratona de Floripa 2026,107,Plaquinha para pulseira MoveON,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
B71CC211 9C81 40D1 85C3 6B01D70C70B0,CAMISETA 42K DESAFIO,B71CC211-9C81-40D1-85C3-6B01D70C70B0,Camiseta 42K DESAFIO,249,Camiseta 42K DESAFIO,kit_incluso,camiseta explicitamente vinculada à modalidade/desafio e integrante do kit da inscrição,True
C40C7856 7DC1 409E A259 E88619E1A4E0,CAMISETA CORRIDA 5KM,C40C7856-7DC1-409E-A259-E88619E1A4E0,Camiseta Corrida 5Km,2965,Camiseta Corrida 5Km,kit_incluso,camiseta explicitamente vinculada à modalidade/desafio e integrante do kit da inscrição,True
CDED9485 90B5 422E A6FF 3AD5F6DF9F95,PAR DE MEIAS OFICIAIS MARATONA DE FLORIPA 2025 R 45 00,CDED9485-90B5-422E-A6FF-3AD5F6DF9F95,"PAR DE MEIAS oficiais Maratona de Floripa 2025 (R$45,00)",1,Par de meias oficial Maratona de Floripa,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
CDED9485 90B5 422E A6FF 3AD5F6DF9F95,PAR DE MEIAS OFICIAIS MARATONA DE FLORIPA 2026,CDED9485-90B5-422E-A6FF-3AD5F6DF9F95,PAR DE MEIAS oficiais Maratona de Floripa 2026,528,Par de meias oficial Maratona de Floripa,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
CDED9485 90B5 422E A6FF 3AD5F6DF9F95,PAR DE MEIAS OFICIAIS MARATONA DE FLORIPA 2026 R 50 00,CDED9485-90B5-422E-A6FF-3AD5F6DF9F95,"PAR DE MEIAS oficiais Maratona de Floripa 2026 (R$ 50,00)",116,Par de meias oficial Maratona de Floripa,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
CE9BE6B7 E8D6 46CD 9E0B A6444EC12A82,OCULOS MARATONA DE FLORIPA 2026,CE9BE6B7-E8D6-46CD-9E0B-A6444EC12A82,Óculos Maratona de Floripa 2026,43,Óculos Maratona de Floripa 2026,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
E94A7423 EF51 497E B12A 6C54D8D1D3DC,CAMISETA FINISHER MARATONA DE FLORIPA 2025 R 80 00,E94A7423-EF51-497E-B12A-6C54D8D1D3DC,"Camiseta FINISHER Maratona de Floripa 2025 (R$80,00)",2,Camiseta FINISHER Maratona de Floripa,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
E94A7423 EF51 497E B12A 6C54D8D1D3DC,CAMISETA FINISHER MARATONA DE FLORIPA 2025 R 90 00,E94A7423-EF51-497E-B12A-6C54D8D1D3DC,"Camiseta FINISHER Maratona de Floripa 2025 (R$ 90,00)",207,Camiseta FINISHER Maratona de Floripa,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
E94A7423 EF51 497E B12A 6C54D8D1D3DC,CAMISETA FINISHER MARATONA DE FLORIPA 2026,E94A7423-EF51-497E-B12A-6C54D8D1D3DC,Camiseta FINISHER Maratona de Floripa 2026,765,Camiseta FINISHER Maratona de Floripa,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
E9917D85 AF8E 41B8 BBB1 2CA64D88DD44,CAMISETA MARATONINHA,E9917D85-AF8E-41B8-BBB1-2CA64D88DD44,Camiseta Maratoninha,192,Camiseta Maratoninha,kit_incluso,camiseta explicitamente vinculada à modalidade/desafio e integrante do kit da inscrição,True
EF5B1D03 6DC4 4E8A 868D E2CC5D8DCB34,TAXA DE ALTERACAO,EF5B1D03-6DC4-4E8A-868D-E2CC5D8DCB34,Taxa de alteração,27,Taxa de alteração,adicional,item adicional identificado pelo produto; eventual preço no nome não é usado como receita,True
F153877E 8769 4CBC BDE5 8AFFCC749469,CAMISETA MARATONA 42KM,F153877E-8769-4CBC-BDE5-8AFFCC749469,Camiseta Maratona 42Km,4667,Camiseta Maratona 42Km,kit_incluso,camiseta explicitamente vinculada à modalidade/desafio e integrante do kit da inscrição,True
F78831A1 0A4E 4762 98AD 6A683DFB0AB7,CAMISETA MEIA MARATONA 21KM,F78831A1-0A4E-4762-98AD-6A683DFB0AB7,Camiseta Meia Maratona 21Km,8559,Camiseta Meia Maratona 21Km,kit_incluso,camiseta explicitamente vinculada à modalidade/desafio e integrante do kit da inscrição,True
